
1333,	0.02,	-0.08,	0.00,	3.06,	-0.06,	0.81,	0,	661855
1333,	0.03,	-0.07,	0.02,	3.06,	-0.06,	0.81,	0,	661871
1333,	0.05,	-0.05,	-0.05,	3.06,	-0.06,	0.81,	1,	661888
1333,	0.04,	-0.05,	0.00,	3.06,	-0.06,	0.81,	1,	661905
1333,	0.04,	-0.02,	0.00,	3.06,	-0.06,	0.81,	1,	661921
1333,	0.03,	-0.05,	-0.09,	3.06,	-0.06,	0.81,	1,	661938
1333,	0.05,	-0.07,	-0.01,	3.06,	-0.06,	0.81,	0,	661955
1333,	0.02,	-0.04,	0.02,	3.06,	-0.06,	0.81,	0,	661970
1333,	0.02,	-0.06,	-0.08,	3.06,	-0.06,	0.81,	0,	661987
1333,	0.03,	-0.05,	-0.02,	3.06,	-0.06,	0.81,	0,	662005
1333,	0.04,	-0.07,	0.02,	3.06,	-0.06,	0.81,	0,	662021
1333,	0.04,	-0.07,	-0.05,	3.06,	-0.06,	0.81,	0,	662038
1333,	0.01,	-0.06,	0.00,	3.06,	-0.06,	0.81,	0,	662055
1333,	0.04,	-0.07,	-0.01,	3.06,	-0.06,	0.81,	0,	662072
1333,	0.06,	-0.05,	-0.07,	3.06,	-0.06,	0.81,	0,	662087
1333,	0.03,	-0.04,	0.00,	3.06,	-0.06,	0.81,	0,	662106
1333,	0.03,	-0.06,	0.00,	3.06,	-0.06,	0.81,	0,	662121
1333,	0.04,	-0.06,	-0.06,	3.06,	-0.06,	0.81,	0,	662137
1333,	0.04,	-0.05,	-0.01,	3.06,	-0.06,	0.81,	0,	662156
1333,	0.04,	-0.05,	0.01,	3.06,	-0.06,	0.81,	0,	662171
1333,	0.04,	-0.05,	-0.05,	3.06,	-0.06,	0.81,	0,	662188
1333,	0.03,	-0.07,	0.00,	3.06,	-0.06,	0.81,	0,	662206
1333,	0.01,	-0.07,	0.00,	3.06,	-0.06,	0.81,	0,	662221
1333,	0.04,	-0.07,	-0.07,	3.06,	-0.06,	0.81,	0,	662238
1333,	0.04,	-0.08,	0.00,	3.06,	-0.06,	0.81,	0,	662256
1333,	0.04,	-0.08,	0.00,	3.06,	-0.06,	0.81,	0,	662272
1333,	0.04,	-0.07,	-0.09,	3.06,	-0.06,	0.81,	0,	662288
1333,	0.03,	-0.08,	-0.01,	3.06,	-0.06,	0.81,	0,	662306
1333,	0.01,	-0.10,	-0.03,	3.06,	-0.06,	0.81,	0,	662322
1333,	0.03,	-0.06,	-0.01,	3.06,	-0.06,	0.81,	0,	662338
1333,	0.03,	-0.11,	-0.03,	3.06,	-0.06,	0.88,	0,	662356
1333,	0.04,	-0.09,	0.05,	3.06,	-0.06,	0.94,	0,	662372
1333,	0.04,	-0.08,	-0.03,	3.06,	-0.12,	1.00,	0,	662388
1333,	0.02,	-0.09,	0.06,	3.06,	-0.12,	1.25,	0,	662407
1333,	0.02,	-0.09,	0.07,	3.06,	-0.12,	1.44,	0,	662422
1333,	0.01,	-0.12,	-0.05,	3.06,	-0.19,	1.94,	0,	662437
1333,	0.00,	-0.12,	0.00,	3.06,	-0.19,	2.56,	0,	662456
1333,	0.04,	-0.09,	0.02,	3.06,	-0.25,	2.88,	0,	662471
1333,	0.02,	-0.09,	-0.03,	3.06,	-0.31,	3.56,	0,	662488
1333,	0.02,	-0.13,	0.04,	3.06,	-0.31,	4.38,	0,	662504
1333,	0.02,	-0.13,	0.09,	3.13,	-0.37,	4.88,	0,	662520
1333,	0.02,	-0.07,	-0.01,	3.06,	-0.37,	5.94,	0,	662536
1333,	0.00,	-0.12,	0.02,	3.06,	-0.44,	7.19,	0,	662551
1333,	0.00,	-0.06,	0.06,	3.06,	-0.44,	7.88,	0,	662568
1333,	0.02,	-0.13,	-0.06,	3.06,	-0.44,	9.44,	0,	662584
1333,	0.01,	-0.10,	0.01,	3.06,	-0.44,	10.25,	0,	662599
1333,	0.00,	-0.03,	0.08,	3.06,	-0.44,	12.00,	0,	662618
1333,	0.02,	-0.14,	-0.12,	3.06,	-0.44,	13.94,	0,	662633
1333,	0.00,	-0.09,	-0.10,	3.06,	-0.44,	14.88,	0,	662649
1333,	0.00,	-0.14,	-0.07,	3.06,	-0.44,	16.69,	0,	662668
1333,	0.00,	-0.07,	-0.10,	3.06,	-0.44,	18.31,	0,	662683
1333,	0.01,	-0.08,	-0.01,	3.06,	-0.44,	19.12,	0,	662700
1333,	0.00,	-0.04,	0.04,	3.06,	-0.44,	20.62,	0,	662718
1333,	-0.01,	-0.10,	-0.12,	3.06,	-0.50,	22.25,	0,	662733
1333,	-0.02,	-0.06,	-0.08,	3.06,	-0.50,	23.12,	0,	662750
1333,	0.00,	-0.08,	0.05,	3.06,	-0.50,	24.69,	0,	662768
1333,	-0.02,	0.00,	-0.05,	3.00,	-0.56,	26.37,	0,	662784
1333,	-0.02,	0.00,	0.00,	3.00,	-0.56,	27.31,	0,	662800
1333,	-0.02,	-0.04,	-0.03,	3.00,	-0.56,	29.19,	0,	662818
1333,	-0.04,	-0.10,	-0.12,	3.00,	-0.56,	31.12,	0,	662834
1333,	-0.02,	-0.04,	-0.02,	3.00,	-0.56,	32.06,	0,	662850
1333,	-0.02,	0.06,	0.06,	3.00,	-0.50,	34.19,	0,	662868
1333,	-0.01,	-0.03,	-0.12,	2.94,	-0.44,	36.44,	0,	662884
